brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,Number of Ratings,Number of Reviews,rating
HP,AMD,Ryzen 3,Not Available,4 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,44490,267,42,4 stars
DELL,Intel,Core i5,11th,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,Casual,1 year,No,Yes,58990,114,9,4 stars
acer,Intel,Core i5,Not Available,8 GB,LPDDR4,0 GB,512 GB,32-bit Windows,0 GB,Casual,1 year,No,No,119990,1,1,4 stars
ASUS,Intel,Core i7,8th,8 GB,LPDDR3,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,81990,40,4,4 stars
HP,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,53990,206,17,4 stars
ASUS,AMD,Ryzen 7,Not Available,4 GB,LPDDR4X,1024 GB,0 GB,64-bit Windows,4 GB,Casual,1 year,Yes,No,99990,77,15,4 stars
acer,Intel,Core i7,11th,16 GB,DDR4,512 GB,1024 GB,32-bit Windows,6 GB,Casual,1 year,No,No,119990,342,54,4 stars
ASUS,AMD,Ryzen 7,Not Available,4 GB,DDR5,512 GB,0 GB,64-bit Windows,4 GB,Casual,No warranty,No,No,106990,0,0,3 stars
HP,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,39790,40,3,3 stars
Avita,Intel,Core i5,8th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,73063,17,3,3 stars
acer,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,Casual,No warranty,No,No,40990,38,2,4 stars
DELL,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,48990,724,92,4 stars
ASUS,Intel,Pentium Quad,Not Available,4 GB,DDR4,0 GB,1024 GB,64-bit Windows,0 GB,Casual,No warranty,No,No,30780,0,0,3 stars
HP,AMD,Ryzen 7,Not Available,4 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,68500,134,22,4 stars
ASUS,Intel,Core i9,11th,16 GB,DDR4,3072 GB,0 GB,32-bit Windows,6 GB,Casual,1 year,No,No,441990,1,1,5 stars
HP,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,58340,69,6,4 stars
Lenovo,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,55990,0,0,3 stars
Lenovo,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,38990,33,4,4 stars
HP,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,32-bit Windows,0 GB,Casual,No warranty,No,No,38799,30,1,4 stars
MSI,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,4 GB,Casual,2 years,No,No,74990,0,0,3 stars
ASUS,Intel,Core i3,11th,8 GB,LPDDR4X,512 GB,0 GB,32-bit Windows,0 GB,Casual,1 year,Yes,Yes,51990,6,2,4 stars
APPLE,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,64-bit Mac,0 GB,Casual,1 year,No,No,85990,6725,629,4 stars
acer,Intel,Core i5,8th,8 GB,DDR3,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,Yes,Yes,81998,14,3,4 stars
ASUS,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,39990,2551,297,4 stars
ASUS,Intel,Core i5,11th,16 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,Casual,1 year,No,Yes,64990,328,51,4 stars
ASUS,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,Casual,1 year,No,No,45990,816,147,4 stars
DELL,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,2 GB,Casual,1 year,No,Yes,82990,15,3,3 stars
acer,Intel,Core i5,11th,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,56990,27,2,4 stars
ASUS,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,64-bit Windows,4 GB,Gaming,No warranty,No,No,98990,445,56,4 stars
ASUS,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,Casual,1 year,No,No,45990,816,147,4 stars
ASUS,AMD,Ryzen 9,Not Available,4 GB,DDR4,1024 GB,0 GB,64-bit Windows,4 GB,Casual,1 year,No,No,162990,0,0,3 stars
Lenovo,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,Casual,3 years,Yes,Yes,64990,48,12,4 stars
acer,Intel,Core i7,11th,16 GB,DDR4,512 GB,1024 GB,64-bit Windows,4 GB,Casual,1 year,No,No,92990,214,37,4 stars
Lenovo,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,32-bit Windows,0 GB,Casual,1 year,No,Yes,77990,17,2,4 stars
MSI,Intel,Core i7,11th,16 GB,DDR4,512 GB,0 GB,64-bit Windows,4 GB,Casual,2 years,No,No,94990,0,0,3 stars
Lenovo,Intel,Core i7,10th,16 GB,DDR4,1024 GB,0 GB,64-bit Windows,8 GB,Casual,1 year,No,Yes,234990,0,0,3 stars
MSI,AMD,Ryzen 7,Not Available,16 GB,DDR4,1024 GB,0 GB,64-bit Windows,8 GB,Casual,1 year,No,No,99990,108,24,4 stars
ASUS,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,64-bit Windows,0 GB,Casual,No warranty,No,No,38000,7,0,4 stars
ASUS,Intel,Celeron Dual,Not Available,4 GB,LPDDR4,0 GB,512 GB,32-bit Windows,0 GB,Casual,No warranty,No,No,17990,1180,148,3 stars
HP,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,63990,3,0,4 stars
MSI,AMD,Ryzen 5,Not Available,4 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,Casual,No warranty,No,No,54990,1410,203,4 stars
Lenovo,Intel,Core i7,10th,16 GB,LPDDR3,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,211753,0,0,3 stars
ASUS,AMD,Ryzen 5,Not Available,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,Casual,1 year,No,No,54990,49,6,4 stars
ASUS,Intel,Core i5,11th,8 GB,LPDDR4X,512 GB,0 GB,64-bit Windows,0 GB,Casual,1 year,Yes,No,105990,59,11,4 stars
MSI,Intel,Core i7,10th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,57990,15,0,4 stars
Lenovo,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,32-bit Windows,0 GB,Casual,No warranty,No,No,38970,0,0,3 stars
ASUS,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,33990,31,6,3 stars
MSI,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,48990,17,3,4 stars
ASUS,Intel,Core i7,11th,16 GB,LPDDR4X,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,Yes,No,109990,0,0,3 stars
DELL,AMD,Ryzen 5,Not Available,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,59490,0,0,3 stars
ASUS,AMD,Ryzen 7,Not Available,4 GB,DDR5,1024 GB,0 GB,32-bit Windows,4 GB,Casual,1 year,No,No,114990,0,0,3 stars
APPLE,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,64-bit Mac,0 GB,Casual,1 year,No,No,112990,640,70,4 stars
