brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
5,1,1,4,0,1,2,0,4,0,1,40200,2,48,1,0,1,1,0,0
5,0,9,5,0,1,4,0,4,3,1,130990,2,0,0,0,1,1,0,0
1,1,2,4,1,3,3,0,4,0,1,79990,3,11,3,0,1,1,0,0
1,1,3,4,2,1,4,0,4,4,0,234990,2,0,0,0,0,1,0,0
1,0,9,5,0,1,4,0,4,0,1,99990,2,0,0,0,0,1,0,0
3,1,1,5,0,1,2,2,4,0,1,43590,2,0,0,0,1,0,0,1
7,1,2,2,1,1,0,2,4,0,1,61597,2,0,0,0,0,0,0,1
5,1,3,4,2,3,3,0,4,0,0,211753,2,0,0,0,0,0,0,1
5,1,2,5,2,1,3,0,4,0,0,61990,3,56,7,0,0,0,0,1
1,1,3,5,2,1,4,0,4,2,0,98990,3,445,56,0,0,0,1,0
2,1,3,2,1,1,2,0,4,0,0,73990,2,0,0,0,0,0,0,1
5,1,2,5,1,1,3,0,4,0,3,62998,3,739,71,0,1,1,0,0
3,1,2,5,1,1,3,0,4,0,0,72900,2,24,4,0,0,0,0,1
1,1,2,5,2,1,2,2,4,0,1,64990,3,328,51,0,1,1,0,0
5,0,9,5,0,1,3,0,4,0,1,63990,3,105,10,0,1,1,0,0
7,1,1,5,1,1,2,2,4,0,0,40990,3,38,2,0,0,1,0,0
1,0,9,5,0,5,4,0,4,2,1,99990,3,77,15,1,0,1,0,0
1,1,2,5,1,5,3,0,4,0,1,99990,2,0,0,1,0,1,0,0
1,1,0,5,0,4,0,1,1,0,0,21490,2,818,113,0,0,1,0,0
3,1,2,5,1,1,3,0,4,1,1,64190,2,0,0,0,1,1,0,0
6,1,3,3,1,1,3,0,4,2,3,66990,3,1639,230,0,0,1,0,0
4,0,8,5,0,1,0,2,4,2,1,59990,3,1480,151,0,0,0,1,0
1,1,1,5,0,1,2,0,1,0,0,48490,2,0,0,0,0,1,0,0
1,1,3,4,2,1,3,0,4,0,1,57990,3,76,9,0,0,1,0,0
5,0,8,5,0,1,3,0,4,2,0,76498,2,0,0,0,0,1,0,0
